store_id,name,prefecture,address,latitude,longitude,source_url
a-himeji,GiGOイオンモール姫路リバーシティー,兵庫県,兵庫県姫路市飾磨区細江2560 イオンモール姫路リバーシティ,34.798260,134.668427,https://www.gigo.co.jp/shops/a-himeji
a-inagawa,GiGOイオンモール猪名川,兵庫県,兵庫県川辺郡猪名川町白金2-1 イオンモール猪名川3F,34.901764,135.364838,https://www.gigo.co.jp/shops/a-inagawa
a-awaji,GiGOイオン淡路,兵庫県,兵庫県淡路市志筑新島10-2 イオン淡路,34.426289,134.904694,https://www.gigo.co.jp/shops/a-awaji
corowa-koshien,GiGOコロワ甲子園,兵庫県,兵庫県西宮市甲子園高潮町3-3 コロワ甲子園,34.723904,135.362381,https://www.gigo.co.jp/shops/corowa-koshien
maya,GiGOフェニックスプラザ摩耶,兵庫県,兵庫県神戸市灘区味泥町6番1号,34.704102,135.228210,https://www.gigo.co.jp/shops/maya
sannomiya-kitaguchi,GiGO三宮北口,兵庫県,兵庫県神戸市中央区北長狭通1丁目8-1 コスモビルB1FB2F,34.693008,135.192230,https://www.gigo.co.jp/shops/sannomiya-kitaguchi
sannomiya-minamiguchi,GiGO三宮南口,兵庫県,兵庫県神戸市中央区三宮町1-7-17 三慶ビル,34.692799,135.193863,https://www.gigo.co.jp/shops/sannomiya-minamiguchi
himeji-ekimae,GiGO姫路駅前,兵庫県,兵庫県姫路市駅前町254 姫路OSビルB1F,34.828773,134.691101,https://www.gigo.co.jp/shops/himeji-ekimae
akashi,GiGO明石,兵庫県,兵庫県明石市魚住町清水2464-1,34.719940,134.896606,https://www.gigo.co.jp/shops/akashi
kobe-umie-south,GiGO神戸umieサウスモール,兵庫県,兵庫県神戸市中央区東川崎1-7-2 ダイヤニッセイビル4F,34.679077,135.181961,https://www.gigo.co.jp/shops/kobe-umie-south
kobe-umie-mosaic,GiGO神戸umieモザイク,兵庫県,兵庫県神戸市中央区東川崎町1-6-1 神戸ハーバーランドumieMOSAIC,34.679356,135.184692,https://www.gigo.co.jp/shops/kobe-umie-mosaic
kobe-umie-mosaic-2f,GiGO神戸umieモザイク 2F,兵庫県,兵庫県神戸市中央区東川崎町1-6-1 神戸ハーバーランドumieMOSAIC,34.679356,135.184692,https://www.gigo.co.jp/shops/kobe-umie-mosaic-2f
yamatokoriyama,GiGOアピタ大和郡山,奈良県,奈良県大和郡山市田中町517 アピタ大和郡山店2F,34.641472,135.769363,https://www.gigo.co.jp/shops/yamatokoriyama
yonago,GiGO米子,鳥取県,鳥取県米子市両三柳2778-2,35.459457,133.321167,https://www.gigo.co.jp/shops/yonago
tottori,GiGO鳥取,鳥取県,鳥取県鳥取市安長416,35.511730,134.209671,https://www.gigo.co.jp/shops/tottori
matsue,GiGO松江,島根県,島根県松江市嫁島町12-15,35.449898,133.047729,https://www.gigo.co.jp/shops/matsue
a-okayama,GiGOイオンモール岡山,岡山県,岡山県岡山市北区下石井1-2-1,34.662712,133.918900,https://www.gigo.co.jp/shops/a-okayama
okayama-tsudaka,GiGOエブリイOkanaka津高,岡山県,岡山県岡山市北区横井上83-3 エブリイOkanaka津高店内4F,34.700172,133.902802,https://www.gigo.co.jp/shops/okayama-tsudaka
cafestand-a-okayama,GiGOコラボカフェスタンド イオンモール岡山,岡山県,岡山県岡山市北区下石井1-2-1,34.662712,133.918900,https://www.gigo.co.jp/shops/cafestand-a-okayama
tamano,GiGOショッピングモールメルカ,岡山県,岡山県玉野市宇野1-38-1 玉野ショッピングモールメルカ店内3Fプレビプレイランドコーナーこころっこ,34.492622,133.945175,https://www.gigo.co.jp/shops/tamano
kurashiki-kojima,GiGOトピア天満屋ハピータウン児島,岡山県,岡山県倉敷市児島駅前2-35 天満屋ハピータウン児島店内3Fプレビプレイランドコーナーこころっこ,34.466820,133.804184,https://www.gigo.co.jp/shops/kurashiki-kojima
takahashi,GiGOポルカ天満屋ハピータウン高梁,岡山県,岡山県高梁市中原町1084-1 ポルカ天満屋ハピータウン内2Fプレビプレイランドコーナーこころっこ,34.784443,133.611755,https://www.gigo.co.jp/shops/takahashi
kurashiki,GiGO倉敷,岡山県,岡山県倉敷市西中新田八反割535-2,34.582184,133.761642,https://www.gigo.co.jp/shops/kurashiki
okayama-haraoshima,GiGO天満屋ハピータウン原尾島,岡山県,岡山県岡山市中区原尾島1-6-20 天満屋ハピータウン原尾島店内3Fプレビプレイランドコーナーこころっこ,34.671471,133.946991,https://www.gigo.co.jp/shops/okayama-haraoshima
okayama-kohoku,GiGO天満屋ハピータウン岡北,岡山県,岡山県岡山市北区中井町2-2-7 天満屋ハピータウン岡北店内3FアミューズメントPLABI,34.679653,133.928375,https://www.gigo.co.jp/shops/okayama-kohoku
okayama-konan,GiGO天満屋ハピータウン岡南,岡山県,岡山県岡山市南区築港新町1-18-5 天満屋ハピータウン岡南店内3Fプレビプレイランドコーナーこころっこ,34.604645,133.941422,https://www.gigo.co.jp/shops/okayama-konan
okayama-fujisaki,GiGO岡山藤崎,岡山県,岡山県岡山市中区藤崎599-12,34.608749,133.976868,https://www.gigo.co.jp/shops/okayama-fujisaki
